TableId,TableTitle
T31101,"Table 3.11.1. Percent Change From Preceding Period in Real National Defense Consumption Expenditures and Gross Investment by Type"
T31102,"Table 3.11.2. Contributions to Percent Change in National Defense Consumption Expenditures and Gross Investment by Type"
T31103,"Table 3.11.3. Real National Defense Consumption Expenditures and Gross Investment by Type, Quantity Indexes"
T31104,"Table 3.11.4. Price Indexes for National Defense Consumption Expenditures and Gross Investment by Type"
T31105,"Table 3.11.5. National Defense Consumption Expenditures and Gross Investment by Type"
T31106,"Table 3.11.6. Real National Defense Consumption Expenditures and Gross Investment by Type, Chained Dollars"
T31200,"Table 3.12. Government Social Benefits"
T31300,"Table 3.13. Subsidies"
T31400,"Table 3.14. Government Social Insurance Funds Current Receipts and Expenditures"
T31501,"Table 3.15.1. Percent Change From Preceding Period in Real Government Consumption Expenditures and Gross Investment by Function"
T31502,"Table 3.15.2. Contributions to Percent Change in Real Government Consumption Expenditures and Gross Investment by Function"
T31503,"Table 3.15.3. Real Government Consumption Expenditures and Gross Investment by Function, Quantity Indexes"
T31504,"Table 3.15.4. Price Indexes for Government Consumption Expenditures and Gross Investment by Function"
T31505,"Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function"
T31506,"Table 3.15.6. Real Government Consumption Expenditures and Gross Investment by Function, Chained Dollars"
T31600,"Table 3.16. Government Current Expenditures by Function"
T31700,"Table 3.17. Selected Government Current and Capital Expenditures by Function"
T31800A,"Table 3.18A. Relation of Federal Government Current Receipts and Expenditures in the National Income and Product Accounts to the Consolidated Cash Statement, Fiscal Years and Quarters"
T31800B,"Table 3.18B. Relation of Federal Government Current Receipts and Expenditures in the National Income and Product Accounts to the Budget, Fiscal Years and Quarters"
T31900,"Table 3.19. Relation of State and Local Government Current Receipts and Expenditures in the National Income and Product Accounts to Census Bureau 'Government Finances' Data, Fiscal Years"
T32000,"Table 3.20. State Government Current Receipts and Expenditures"
T32100,"Table 3.21. Local Government Current Receipts and Expenditures"
T32200,"Table 3.22. Federal Government Current Receipts and Expenditures, Not Seasonally Adjusted"
T32300,"Table 3.23. State and Local Government Current Receipts and Expenditures, Not Seasonally Adjusted"
T40100,"Table 4.1. Foreign Transactions in the National Income and Product Accounts"
T40201,"Table 4.2.1. Percent Change From Preceding Period in Real Exports and in Real Imports of Goods and Services by Type of Product"
T40202,"Table 4.2.2. Contributions to Percent Change in Real Exports and Real Imports of Goods and Services by Type of Product"
T40203,"Table 4.2.3. Real Exports and Imports of Goods and Services by Type of Product, Quantity Indexes"
T40204,"Table 4.2.4. Price Indexes for Exports and Imports of Goods and Services by Type of Product"
T40205,"Table 4.2.5. Exports and Imports of Goods and Services by Type of Product"
T40206,"Table 4.2.6. Real Exports and Imports of Goods and Services by Type of Product, Chained Dollars"
T4030A,"Table 4.3A. Relation of Foreign Transactions in the National Income and Product Accounts to the Corresponding Items in the International Transactions Accounts"
T4030B,"Table 4.3B. Relation of Foreign Transactions in the National Income and Product Accounts to the Corresponding Items in the International Transactions Accounts"
T50100,"Table 5.1. Saving and Investment by Sector"
T50203,"Table 5.2.3. Real Gross and Net Domestic Investment by Major Type, Quantity Indexes"
T50205,"Table 5.2.5. Gross and Net Domestic Investment by Major Type"
T50206,"Table 5.2.6. Real Gross and Net Domestic Investment by Major Type, Chained dollars"
T50301,"Table 5.3.1. Percent Change From Preceding Period in Real Private Fixed Investment by Type"
T50302,"Table 5.3.2. Contributions to Percent Change in Real Private Fixed Investment by Type"
T50303,"Table 5.3.3. Real Private Fixed Investment by Type, Quantity Indexes"
T50304,"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
T50305,"Table 5.3.5. Private Fixed Investment by Type"
T50306,"Table 5.3.6. Real Private Fixed Investment by Type, Chained Dollars"
T50401,"Table 5.4.1. Percent Change From Preceding Period in Real Private Fixed Investment in Structures by Type"
T50402,"Table 5.4.2. Contributions to Percent Change in Real Private Fixed Investment in Structures by Type"
T50403,"Table 5.4.3. Real Private Fixed Investment in Structures by Type, Quantity Indexes"
T50404,"Table 5.4.4. Price Indexes for Private Fixed Investment in Structures by Type"
T50405,"Table 5.4.5. Private Fixed Investment in Structures by Type"
T50406,"Table 5.4.6. Real Private Fixed Investment in Structures by Type, Chained Dollars"
T50501,"Table 5.5.1. Percent Change From Preceding Period in Real Private Fixed Investment in Equipment by Type"
T50502,"Table 5.5.2. Contributions to Percent Change in Real Private Fixed Investment in Equipment by Type"
T50503,"Table 5.5.3. Real Private Fixed Investment in Equipment by Type, Quantity Indexes"
T50504,"Table 5.5.4. Price Indexes for Private Fixed Investment in Equipment by Type"
T50505,"Table 5.5.5. Private Fixed Investment in Equipment by Type"
T50506,"Table 5.5.6. Real Private Fixed Investment in Equipment by Type, Chained Dollars"
T50601,"Table 5.6.1. Percent Change From Preceding Period in Real Private Fixed Investment in Intellectual Property Products by Type"
T50602,"Table 5.6.2. Contributions to Percent Change in Private Fixed Investment in Intellectual Property Products by Type"
T50603,"Table 5.6.3. Real Private Fixed Investment in Intellectual Property Products by Type, Quantity Indexes"
T50604,"Table 5.6.4. Price Indexes for Private Fixed Investment in Intellectual Property Products by Type"
T50605,"Table 5.6.5. Private Fixed Investment in Intellectual Property Products by Type"
T50606,"Table 5.6.6. Real Private Fixed Investment in Intellectual Property Products by Type, Chained Dollars"
